bucket_5min,action,action_group,metric,before_mean,after_mean,delta,delta_ratio,before_bucket_count,after_bucket_count,window_status,product_family_context,confidence
2026-02-12 19:50:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,7049.324000000001,7049.324000000001,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 19:50:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,11.0,8.583333333333334,-2.416666666666666,-0.21969696969696964,12,12,ok,MIXED_OR_NONE,High
2026-02-12 19:55:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,3852.1885,8334.0615,4481.873,1.1634614972761586,12,12,ok,MIXED_OR_NONE,High
2026-02-12 19:55:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,7930.489500000002,7930.489500000002,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 19:55:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,10.75,8.583333333333334,-2.166666666666666,-0.20155038759689917,12,12,ok,MIXED_OR_NONE,High
2026-02-12 20:00:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,4784.875833333333,7387.029333333335,2602.153500000002,0.5438288454367769,12,12,ok,MIXED_OR_NONE,High
2026-02-12 20:00:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,8811.655,8811.655,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 20:00:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,10.5,8.583333333333334,-1.916666666666666,-0.18253968253968247,12,12,ok,MIXED_OR_NONE,High
2026-02-12 20:05:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,5717.563166666667,6439.997166666667,722.4340000000002,0.12635347943539701,12,12,ok,MIXED_OR_NONE,High
2026-02-12 20:05:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,9692.820500000002,9692.820500000002,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 20:05:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,10.25,8.666666666666666,-1.583333333333334,-0.15447154471544722,12,12,ok,MIXED_OR_NONE,High
2026-02-12 20:10:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,6650.250499999999,5492.965,-1157.285499999999,-0.17402133949691057,12,12,ok,MIXED_OR_NONE,High
2026-02-12 20:10:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,10573.986000000003,10573.986000000003,,12,12,ok,MIXED_OR_NONE,High
2026-02-12 20:10:00,PRIORITIZE_DISCHARGE,A3,buffer_wip,9.916666666666666,8.75,-1.166666666666666,-0.11764705882352935,12,12,ok,MIXED_OR_NONE,High
2026-02-12 20:15:00,PRIORITIZE_DISCHARGE,A3,a3_to_amr_wait_p90_recent,7597.282666666666,4545.932833333333,-3051.3498333333328,-0.401637001966668,12,12,ok,MIXED_OR_NONE,High
2026-02-12 20:15:00,PRIORITIZE_DISCHARGE,A3,a3_to_c2_wait_p90_recent,0.0,9692.820500000002,9692.820500000002,,12,12,ok,MIXED_OR_NONE,High
